Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Tank Dell,WR,HOU,0.6710583909655958,74.0,54.0,55.0,158.88456784880464,39.0,0.4352819339160686,0.8367952522255193,158.93268050287188,2,98.0,9,24.0
Ladd McConkey,WR,LAC,0.6329773264466427,105.0,86.0,88.7,157.64597812710383,40.0,0.43188867970208145,0.7367952522255192,157.3610160660183,2,99.0,21,25.0
Keenan Allen,WR,CHI,0.6699641075024075,75.0,59.0,58.0,157.17848306053892,41.0,0.4306079250043424,0.827893175074184,157.09971661340475,2,100.0,9,26.0
Tank Dell,WR,HOU,0.6710583909655958,74.0,54.0,55.0,156.82257788215082,42.0,0.4296328832086726,0.8367952522255193,156.92688701205637,2,101.0,9,27.0
Brian Robinson Jr.,RB,WAS,0.6207213516589338,124.0,100.0,101.0,156.87324606200136,35.0,0.4297716943192289,0.7002967359050445,156.85890703993653,2,102.0,21,28.0
Ezekiel Elliott,RB,DAL,0.6590212728705245,84.0,120.0,121.7,155.95941903068407,36.0,0.4272681635934816,0.6388724035608309,155.8879390743311,2,103.0,2,29.0
Kyle Pitts,TE,ATL,0.6226910618926726,121.0,61.0,62.3,155.52079448639114,5.0,0.42606650290051507,0.81513353115727,155.82318778717882,2,104.0,21,30.0
Russell Wilson,QB,PIT,0.5865359362689312,132.0,188.0,188.0,272.97959833760797,22.0,0.74785795179994,0.4421364985163204,155.04000725232285,2,105.0,33,31.0
Tyjae Spears,RB,TEN,0.6237853453558609,120.0,105.0,102.7,155.03658092104243,37.0,0.42473994601706777,0.6952522255192879,155.01091705456943,2,106.0,21,32.0
Adam Thielen,WR,CAR,0.6594589862557998,83.0,159.0,158.3,154.1527313552801,43.0,0.42231854189025536,0.53026706231454,154.2291269744173,2,107.0,2,33.0
Mike Williams,WR,NYJ,0.6612098397969011,82.0,135.0,133.3,152.81201906253892,44.0,0.4186455115418028,0.6044510385756676,152.55466962039972,2,108.0,2,34.0
Joshua Palmer,WR,LAC,0.638011030377309,100.0,127.0,128.0,152.03573075849732,45.0,0.4165187834470944,0.6201780415430267,151.7468476710044,2,109.0,2,35.0
Jakobi Meyers,WR,LV,0.66317955003064,81.0,122.0,122.7,151.65268954605682,46.0,0.415469399469921,0.6359050445103858,151.57220546426942,2,110.0,2,36.0
Chase Brown,RB,CIN,0.6034316729405587,130.0,117.0,118.0,151.36715310050513,38.0,0.4146871406394628,0.6498516320474778,151.26714228678864,2,111.0,2,37.0
Derek Carr,QB,NO,0.5786133239954478,134.0,169.0,170.7,263.73524856398507,23.0,0.7225320280696486,0.49347181008902086,151.2162212809784,2,112.0,33,38.0
Christian Watson,WR,GB,0.6568327059441479,87.5,82.0,82.7,150.52134538251264,47.0,0.412369956383033,0.7545994065281899,150.5002375331177,2,113.0,21,39.0
Marquise Brown,WR,KC,0.6528932854766699,90.5,67.0,69.0,150.47956409033563,48.0,0.41225549188905125,0.7952522255192879,150.47310174941754,2,114.0,21,40.0
David Njoku,TE,CLE,0.6150310776503546,126.0,94.0,95.7,148.72637335026897,6.0,0.40745243098645834,0.7160237388724036,148.22514354402566,2,115.0,21,41.0
Romeo Doubs,WR,GB,0.6485161516239167,94.0,123.0,123.7,147.4577790409524,50.0,0.403976975869636,0.6329376854599407,147.3387455648569,2,116.0,2,42.0
